colonne,sum,mean,min,max,non_null
Unnamed: 1,783298.0740810448,8075.237877124173,0.0,226636.4834133333,97.0
Unnamed: 2,1600544.9111337129,16500.463001378484,0.0,691669.3333333334,97.0
Unnamed: 3,666989.0287387581,10261.36967290397,0.0,251145.4814814815,65.0
Unnamed: 13,3050561.070714751,30813.748189037888,0.0,1169451.298228148,99.0
Unnamed: 16,33151.36899973126,510.0210615343271,0.0,12443.65641590172,65.0
Unnamed: 17,31807.64799789758,489.34843073688586,0.0,10402.802230639278,65.0
Unnamed: 18,31778.423531242708,488.8988235575801,0.0,11848.53683529956,65.0
Unnamed: 19,41621.85402700886,640.3362158001364,0.0,15325.305244755244,65.0
Unnamed: 20,59601.96244579713,916.9532683968789,0.0,16329.688360085162,65.0
Unnamed: 28,96558.05587720123,1463.0008466242612,0.0,34694.99548184055,66.0
Unnamed: 43,493063.7905924725,8083.0129605323355,0.0,246229.32678456,61.0
Unnamed: 46,2018615.1699661473,31540.86203072105,0.0,858994.0789957995,64.0
Unnamed: 47,2223347.8619287005,34739.810342635945,0.0,1016754.6287213748,64.0
Unnamed: 48,2911476.3443507794,45491.81788048093,0.0,1378294.5728288584,64.0
Unnamed: 49,5888412.10160833,92006.43908763016,0.0,2874706.5123966946,64.0
Unnamed: 50,9080538.947634432,141883.421056788,0.0,4394808.0,64.0
Unnamed: 58,7152667.032937136,108373.74292328993,0.0,3254043.280546033,66.0
Unnamed: 106,3528657.8199005667,36756.8522906309,0.0,1444694.3319449804,96.0
Unnamed: 107,4282970.684940758,44614.2779681329,0.0,1932269.7479236412,96.0
Unnamed: 108,4647987.06047565,51076.780884347805,0.0,2159995.1797594614,91.0
Unnamed: 109,7257639.639338015,79754.28175096719,0.0,3553174.3827183577,91.0
Unnamed: 110,10377152.013431117,114034.63751023206,0.0,5029101.53745386,91.0
Unnamed: 111,1401239.8686900642,15398.24031527543,0.0,401472.0,91.0
Unnamed: 112,3851754.866690681,44787.84728710094,0.0,1924887.6908843536,86.0
Unnamed: 113,571000.72,7049.3916049382715,0.0,526176.0,81.0
Unnamed: 114,336547.86953619914,4154.911969582706,0.0,305814.69539677585,81.0
Unnamed: 115,0.0,0.0,0.0,0.0,81.0
Unnamed: 116,0.0,0.0,0.0,0.0,81.0
Unnamed: 117,0.0,0.0,0.0,0.0,81.0
Unnamed: 118,36253471.7563601,369933.3852689806,0.0,16341404.263261752,98.0
