colonne,sum,mean,min,max,non_null
Numéro Auto,93116.0,243.7591623036649,1.0,453.0,382.0
Année_Construction,768478.0,2011.7225130890051,1990.0,2024.0,382.0
Durée,4690.0,12.277486910994764,0.0,34.0,382.0
Puissane,14940.0,39.109947643979055,4.0,40.0,382.0
N° téléphone,22557454645.0,71610967.12698413,60070716.0,77995328.0,315.0
Montant,48100000.0,125916.23036649215,50000.0,200000.0,382.0
